refseqID,description
NC_047866.1,Aeromonas phage Ahp1
NC_020880.1,Leuconostoc phage P793
NC_028787.1,Acidianus bottle-shaped virus 3 strain ABV3
NC_003492.1,Bean yellow mosaic virus
NC_055873.1,CrAssphage cr1_1
NC_019444.1,Synechococcus phage S-MbCM6
NC_049807.1,Lactococcus phage AM6
NC_022630.1,Razdan virus strain LEIV-Arm2741 segment L
NC_048190.1,Rheinheimera phage vB_RspM_Barba19A
NC_032596.1,Beihai sipunculid worm virus 4 strain BHZC37368 hypothetical protein 1 and hypothetical protein 2 genes
NC_029026.1,Enterococcus phage EFLK1
NC_006936.1,Lactobacillus phage phiJL-1
NC_047769.1,Escherichia virus AAPEc6
NC_038309.1,Simian enterovirus SV4 strain 1715 UWB
NC_001943.1,Human astrovirus
NC_029902.1,Bat mastadenovirus WIV11
NC_047719.1,Synechococcus phage ACG-2014b isolate Syn9311C4
NC_048022.1,Eggerthella phage PMBT5
NC_005879.1,Vibrio phage VP2
NC_047890.1,Escherichia phage PGT2
NC_026596.1,Mycobacterium phage Inventum
NC_043536.1,Mediterranean ruda virus isolate ParP17
NC_028678.1,Mycobacterium phage Cabrinians
NC_055779.1,Gordonia phage Tangent
NC_048092.1,Arthrobacter phage Constance
NC_048169.1,Gordonia phage BrutonGaster
NC_032218.1,Hubei myriapoda virus 1 strain WGML505798 hypothetical protein gene
NC_028113.1,Simian adenovirus 8 strain P-5
NC_038309.1,Simian enterovirus SV4 strain 1715 UWB
NC_049477.1,Vibrio phage vB_ValM-yong1
NC_011291.1,Mycobacterium phage Brujita
NC_051650.1,Mycobacterium phage DRBy19
NC_021864.1,Puniceispirillum phage HMO-2011
NC_031056.1,Bacillus phage Deep Blue
NC_054428.1,Arthrobacter phage Sergei
NC_029016.1,Enterococcus phage vB_EfaS_IME198
NC_055229.1,Eastern grey kangaroopox virus strain Sunshine Coast
NC_002166.1,Bacteriophage HK022
NC_010275.2,Vibrio phage kappa proviral DNA
NC_011704.1,Rabbit calicivirus Australia 1 MIC-07
NC_024300.1,Fulmarus glacialis papillomavirus 1
NC_026813.1,Fusarium graminearum hypovirus 2 isolate FgHV2/JS16
NC_003529.1,Mamestra configurata NPV-A
NC_009742.1,Telosma mosaic virus
NC_032456.1,Beihai hepe-like virus 8 strain BHZY60925 replicase
NC_019716.1,Enterobacteria phage mEp460
NC_024766.1,Chicken picornavirus 2 isolate 44C
NC_004291.1,Lymphocytic choriomeningitis virus segment L
NC_033418.1,Wuhan coneheads virus 1 strain ZCM4592 hypothetical protein gene
NC_028776.1,Enterobacteria phage CAjan
NC_018093.1,Sweet potato virus G isolate Jesus Maria
NC_011532.1,Lettuce yellow mottle virus
NC_048056.1,Pectobacterium phage Gaspode
NC_051674.1,Mycobacterium phage Koella
NC_050147.1,Pseudomonas phage Epa13
NC_019539.1,Salmonella phage vB_SenS-Ent1 complete genome
NC_038525.1,Human papillomavirus type 204 isolate A342
NC_021792.1,Cellulophaga phage phi46:3
NC_028892.1,Streptomyces phage Caliburn
NC_001338.1,Sulfolobus virus 1 complete genome (provirus)
NC_016993.1,Magpie-robin coronavirus HKU18
NC_011560.1,Zantedeschia mild mosaic virus
NC_017995.1,Human papillomavirus type 137
NC_007636.1,Enterobacteria phage K1F
NC_048652.1,Bacillus phage vB_BsuM-Goe3
NC_021067.1,Vibrio phage helene 12B3 genomic sequence
NC_040674.1,Marmot norovirus strain HT16
NC_047814.1,Staphylococcus phage St 134
NC_033050.1,Hubei picorna-like virus 5 strain WHBL70549 hypothetical protein 1 and hypothetical protein 2 genes
NC_031121.1,Bacillus phage Aurora
NC_022063.1,Mycobacterium phage Phelemich
NC_022756.1,Lactobacillus phage J-1
NC_019493.1,Grapevine endophyte endornavirus
NC_049455.1,Shigella phage MK-13
NC_047777.1,Escherichia phage ZG49
NC_007022.1,Aeromonas phage 31
NC_027367.1,Propionibacterium phage PHL132N00
NC_041844.1,Mycobacterium phage Optimus
NC_042138.1,Klebsiella phage PMBT1 genome assembly
NC_004003.1,Goatpox virus Pellor
NC_003356.1,Enterobacteria phage phiP27
NC_055294.1,Salehabad virus strain I-81 polymerase gene
NC_049976.1,Bacillus phage Nf
NC_023712.1,Mycobacterium phage Firecracker
NC_055894.1,CrAssphage cr6_1
NC_017084.1,Tianjin totivirus
NC_043605.1,Rio Preto da Eva virus strain BEAR540870 segment L RNA-dependent RNA polymerase gene
NC_049454.1,Klebsiella phage ST15-OXA48phi14.1
NC_049347.1,Lactococcus phage fd13
NC_051605.1,Mycobacterium phage Amgine
NC_034264.1,Arracacha virus V isolate CNPH
NC_045762.1,Norovirus GIV genotype GIV.2 nonstructural polyprotein (ORF1)
NC_021538.1,Mycobacterium phage Job42
NC_028652.1,Pseudomonas phage C11
NC_011530.1,Caretta caretta papillomavirus 1
NC_055129.1,Pepper vein yellows virus 2 isolate Is
NC_048813.1,Gordonia phage Ranch
NC_055423.1,Lihan Tick Virus strain LH-1 RNA-dependent RNA polymerase (L) gene
NC_031246.1,Klebsiella phage vB_KpnP_KpV71
NC_032971.1,Hubei rhabdo-like virus 1 strain QTM25107 hypothetical protein 1
NC_055006.1,Lactococcus phage CHPC116
NC_034385.1,Human cosavirus F strain PK5006 polyprotein gene
NC_027222.1,Sclerotinia sclerotiorum megabirnavirus 1 isolate SX466 segment L2
NC_048119.1,Pectobacterium phage Phoria
NC_028833.1,BtNv-AlphaCoV/SC2013
NC_001330.1,Enterobacteria phage alpha3
NC_019399.1,Enterobacteria phage vB_EcoM_ACG-C40
NC_038531.1,Vulpes vulpes papillomavirus 1 isolate ILAT 93957
NC_049842.1,Klebsiella phage vB_KpnS_15-38_KLPPOU149
NC_049935.1,Enterococcus phage vB_EfaP_Efmus4
NC_005336.1,Orf virus
NC_049357.1,Lactococcus phage 936 group phage Phi5.12
NC_043515.1,Marine RNA virus SF-1 RNA-dependent RNA polymerase and structural polyprotein genes
NC_019529.1,Vibrio phage pVp-1
NC_009003.1,Hyposoter fugitivus ichnovirus segment E1
NC_033792.1,Qinghai Himalayan marmot astrovirus 1 isolate HHMAstV1
NC_038880.1,Rosavirus M-7 polyprotein gene
NC_038275.1,Mossuril virus nucleoprotein
NC_035675.1,Fathead minnow calicivirus polyprotien and putative minor structural protein genes
NC_033010.1,Wenzhou picorna-like virus 21 strain WZSBei23778 hypothetical protein 1 and hypothetical protein 2 genes
NC_048190.1,Rheinheimera phage vB_RspM_Barba19A
NC_023613.1,Invertebrate iridovirus 25 complete genome
NC_003399.1,Scallion mosaic virus
NC_031114.1,Escherichia phage 64795_ec1
NC_044932.1,Norovirus GII GII.NA2[PNA2]
NC_024123.1,Pseudomonas phage KPP25 DNA
NC_007047.1,Staphylococcus phage 187
NC_006554.1,Sapovirus C12 strain C12
NC_023557.1,Erwinia phage Ea35-70
NC_011109.1,Tursiops truncatus papillomavirus type 1
NC_005264.1,Psittacid herpesvirus 1
NC_023595.2,Enterococcus phage IME_EF3
NC_048724.1,Streptomyces phage Karimac
NC_003602.1,Grapevine virus B
NC_006560.1,Cercopithecine herpesvirus 2
NC_043109.1,Basella alba endornavirus genomic RNA
NC_043570.1,Sororoca virus strain BeAr32149 RNA-dependent RNA polymerase gene
NC_047840.1,Xanthomonas phage phi Xc10
NC_011086.1,Diascia yellow mottle virus
NC_018847.1,Propionibacterium phage ATCC29399B_T
NC_014373.1,Bundibugyo ebolavirus
NC_042102.1,Gordonia phage Troje
NC_039199.1,Human metapneumovirus isolate 00-1
NC_012532.1,Zika virus
NC_022917.1,Ralstonia phage RSB3 DNA
NC_051658.1,Mycobacterium phage Firehouse51
NC_031101.1,Weissella phage WCP30
NC_051694.1,Mycobacterium phage OlympiaSaint
NC_028362.1,Caprine parainfluenza virus 3 strain JS2013
NC_003510.1,Beet virus Q RNA 1
NC_018505.1,Soybean mild mottle pararetrovirus
NC_027621.1,Propionibacterium phage Wizzo
NC_030935.1,Gordonia phage GRU3
NC_019405.1,Caulobacter phage phiCbK
NC_034540.1,Keuraliba virus nucleoprotein
NC_041915.1,Acinetobacter phage vB_AbaP_AS11
NC_011357.1,Stx2-converting phage 1717
NC_049380.1,Vibrio phage JSF3
NC_009818.1,Pseudomonas phage MP22
NC_010356.1,Glossina pallidipes salivary gland hypertrophy virus
NC_018461.1,Sathuperi virus RdRp gene for RNA-dependent RNA polymerase
NC_024889.1,Equine hepacivirus JPN3/JAPAN/2013 polyprotein (POLY) gene
NC_049459.1,Salmonella phage SW9
NC_011659.1,Schlumbergera virus X
NC_037057.1,Dishui lake phycodnavirus 1
NC_034216.1,Lagenaria siceraria endornavirus-Hubei isolate JZ
NC_009540.1,Enterobacteria phage TLS
NC_038328.1,Blackberry virus S polyprotein mRNA
NC_028105.1,Simian adenovirus 16 strain C-8
NC_040836.1,Areca palm necrotic spindle-spot virus isolate HNBT
NC_009744.1,Wild tomato mosaic virus
NC_022920.1,Staphylococcus phage S25-3 DNA
NC_040557.1,Halhan virus 2 replicative protein
NC_006938.1,Phage phiJL001
NC_022977.1,Mycobacterium phage Artemis2UCLA
NC_024207.1,Bacillus phage Evoli
NC_055889.1,CrAssphage cr53_1
NC_031046.1,Staphylococcus phage BP39
NC_051694.1,Mycobacterium phage OlympiaSaint
NC_032413.1,Beihai barnacle virus 15 strain BHTH16139 hypothetical protein 1 and hypothetical protein 2 genes
NC_025427.1,Rhizobium phage vB_RleM_PPF1
NC_055719.1,Synechococcus phage S-H35
NC_055711.1,Pseudomonas phage PaMx41
NC_014793.1,Mud crab dicistrovirus
NC_005062.1,Omsk hemorrhagic fever virus
NC_028369.1,Shayang spider virus 4 strain SYZZ-1 polyprotein gene
NC_055821.1,Gordonia phage NadineRae
NC_040614.1,Nephila clavipes virus 4 isolate SC
NC_016158.1,Escherichia phage HK639
NC_008030.1,Nile crocodilepox virus
NC_019419.2,Enterobacteria phage JL1
NC_019725.1,Escherichia phage ADB-2
NC_015933.1,Escherichia phage vB_EcoP_G7C
NC_033001.1,Wenzhou picorna-like virus 37 strain WZSBei69579 hypothetical protein 1 and hypothetical protein 2 genes
NC_015287.1,Synechococcus phage S-SSM7
NC_054927.1,Escherichia phage vB_EcoM_Ozark
NC_028462.1,Blueberry fruit drop associated virus
NC_028362.1,Caprine parainfluenza virus 3 strain JS2013
NC_011802.1,Salmonella enterica bacteriophage SE1
NC_004108.1,La Crosse virus segment L
NC_032179.1,Changjiang picorna-like virus 1 strain CJLX30149 hypothetical protein gene
NC_048167.1,Vibrio phage vB_VpaS_OWB
NC_010306.1,Gill-associated virus
NC_032904.1,Shahe picorna-like virus 4 strain SHWC13603 hypothetical protein gene
NC_049448.1,Klebsiella phage ST437-OXA245phi4.1
NC_041923.1,Salmonella phage Mushroom
NC_023727.1,Mycobacterium phage Vista
NC_002552.1,Hop latent virus
NC_042094.1,Vibrio phage Ceto
NC_048793.1,Gordonia phage Kenosha
NC_048062.1,Salmonella phage Sw2
NC_041939.1,Arthrobacter phage DrRobert
NC_006296.2,Rinderpest virus (strain Kabete O)
NC_054778.1,Mycobacterium phage Archetta
NC_049942.1,Escherichia phage JLK-2012
NC_028487.1,Daeseongdong virus 1 strain A12.2708/ROK/2012
NC_034556.1,Anjozorobe hantavirus strain Anjozorobe/Em/MDG/2009/ATD49 RNA-dependent RNA polymerase gene
NC_019932.1,Erwinia phage ENT90
NC_054945.1,Yersinia phage vB_YepM_ZN18
NC_055771.1,Gordonia phage Emianna
NC_001449.1,Venezuelan equine encephalitis virus
NC_001809.1,Louping ill virus
NC_041897.1,Escherichia phage K1ind1
NC_031274.1,Pseudomonas phage O4
NC_031269.1,Gordonia phage Yeezy
NC_004016.1,Oat mosaic virus RNA 1
NC_018629.1,Ikoma lyssavirus
NC_039223.1,Newcastle disease virus isolate JSD0812
NC_028820.1,Yersinia phage vB_YenM_TG1
NC_042045.1,Gordonia phage Lennon
NC_033000.1,Hubei picorna-like virus 20 strain WGML146806 hypothetical protein 1 and hypothetical protein 2 genes
NC_054453.1,Mycobacterium phage Fulbright
NC_016158.1,Escherichia phage HK639
NC_047828.1,Escherichia phage vB_EcoS_SH2
NC_001948.1,Rupestris stem pitting associated virus-1
NC_047731.1,Staphylococcus phage IME-SA118
NC_028685.1,Shigella phage Ss-VASD
NC_009758.1,Marine RNA virus JP-B
NC_034833.1,Agave tequilana leaf virus isolate agave azul-Mex1
NC_048207.1,Gordonia phage SteveFrench
NC_042096.1,Salmonella phage BPS17L1
NC_048851.1,Gordonia phage John316
NC_032878.1,Hubei toti-like virus 13 strain QTM25941 hypothetical protein 1 and hypothetical protein 2 genes
NC_025967.1,Persimmon virus B genomic RNA
NC_007967.1,Streptomyces phage mu1/6
NC_027375.1,Pseudomonas phage vB_PaeP_PPA-ABTNL
NC_035464.1,Metallosphaera turreted icosahedral virus strain MTIV1
NC_055032.1,Arthrobacter phage LiSara
NC_054637.1,Escherichia coli Phage vB_EcoS-Sa179lw
NC_023574.1,Lactococcus phage phiL47
NC_048072.1,Streptomyces phage Darolandstone
NC_012799.1,Triticum mosaic virus
NC_049975.1,Bacillus phage vB_BsuP-Goe1
NC_033151.1,Wenzhou picorna-like virus 4 strain WZSLuoI86003 hypothetical protein 1 and hypothetical protein 2 genes
NC_004616.1,Staphylococcus prophage phi 12
NC_034440.1,Bat coronavirus isolate PREDICT/PDF-2180
NC_038319.1,polyprotein [echovirus 22 EV22
NC_041917.1,Serratia phage BF
NC_032929.1,Hubei rhabdo-like virus 3 strain QCM135517 hypothetical protein 1
NC_049812.1,Lactococcus phage P1045
NC_055742.1,Enterobacteria phage vB_EcoM_IME341
NC_020902.1,Equine Pegivirus 1 isolate C0035
NC_043550.1,Peaton virus RdRp gene for RNA-dependent RNA polymerase
NC_006432.1,Sudan ebolavirus isolate Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892
NC_048097.1,Arthrobacter phage Yang
NC_048002.1,Escherichia phage SRT7
NC_021061.1,Mycobacterium phage Butters
NC_003397.1,Bean common mosaic virus
NC_023587.1,Synechococcus phage S-MbCM7
NC_055425.1,Tacheng Tick Virus 2 strain TC252 RNA-dependent RNA polymerase (L) gene
NC_002670.1,Lactococcus prophage bIL311
NC_001449.1,Venezuelan equine encephalitis virus
NC_013650.1,Mycobacterium phage ET08
NC_048801.1,Microbacterium phage Araxxi
NC_038787.1,Diodia vein chlorosis virus segment RNA 2
NC_025445.1,Enterobacteria phage J8-65
NC_034971.1,Canine kobuvirus isolate SMCD-59
NC_029064.1,Cucumis melo endornavirus isolate CL-01
NC_031750.1,Riptortus pedestris virus-1
NC_010944.1,Brugmansia mild mottle virus
NC_054939.1,Shigella phage CM8
NC_053246.1,Gordonia phage Lilbeanie
NC_021805.1,Cellulophaga phage phi12a:1
NC_011142.1,Iodobacteriophage phiPLPE
NC_017685.1,Obodhiang virus
NC_028777.1,Bacillus phage Stills
NC_041847.1,Mycobacterium phage Mutaforma13
NC_054643.1,UNVERIFIED: Salmonella phage SeSz-2
NC_019726.1,Staphylococcus phage JD007
NC_038302.1,Nilaparvata lugens honeydew virus-1 genomic RNA
NC_024142.2,Enterobacteria phage Bp4
NC_048038.1,Microbacterium phage Neferthena
NC_009759.1,Potato rough dwarf virus
NC_037057.1,Dishui lake phycodnavirus 1
NC_016656.1,Cyanophage P-SSP2
NC_026019.1,Wenzhou virus isolate Rn-242 segment L
NC_049977.1,Bacteroides phage crAss001
NC_002794.1,Tupaiid herpesvirus 1
NC_024148.1,Mycobacterium phage Phantastic
NC_049850.1,Burkholderia phage BcepSaruman
NC_041860.1,Streptomyces phage Danzina
NC_002686.2,Cercopithecine herpesvirus 9
NC_040800.1,Actinidia seed-borne latent virus isolate 01227
NC_014143.1,Bettongia penicillata papillomavirus
NC_055538.1,Botrylloides leachii nidovirus strain SRR2729873
NC_044957.1,African swine fever virus OURT 88/3 (avirulent field isolate)
NC_042330.1,Mycobacterium virus EricB
NC_055781.1,Escherichia phage p000v
NC_055022.1,Staphylococcus phage SP197 DNA
NC_055188.1,Tapirape virus strain BEAN767592 segment L RNA-dependent RNA polymerase gene
NC_038297.1,Dak Nong virus RNA
AC_000020.1,Canine adenovirus type 2
NC_031112.1,Gordonia phage Phinally
NC_003791.1,Cycas necrotic stunt virus RNA 1
NC_028972.1,Gordonia phage Gmala1
NC_010251.1,Amapari virus segment L
NC_033819.1,Crohivirus B clone Bat/CAM/CroV-P25/2013 polyprotein gene
NC_020490.2,Staphylococcus phage StB12
NC_019932.1,Erwinia phage ENT90
NC_021860.1,Lactococcus phage jm2
NC_042056.1,Erwinia phage vB_EamM_Machina
NC_005082.1,Guanarito virus segment L
NC_016562.1,Campylobacter phage CPX
NC_055207.1,Tahyna virus strain XJ0625 segment L
NC_047722.1,Staphylococcus phage Staph1N
NC_015284.1,Prochlorococcus phage P-HM2
NC_040462.1,Saesbyeol virus isolate Jeju segment 1
NC_026608.1,Paracoccus phage vB_PmaS-R3
NC_055826.1,Bacteriophage DSS3_VP1
NC_001867.1,Walleye dermal sarcoma virus
NC_033460.1,Wuhan insect virus 11 strain CJLX30623 hypothetical protein 1 and hypothetical protein 2 genes
NC_007046.1,Staphylococcus phage 66
NC_023485.1,Hibiscus bacilliform virus GD1
NC_024120.1,Duck megrivirus strain LY
NC_055012.1,Lactococcus phage CHPC1170
NC_023553.1,Mycobacterium phage Echild
NC_004456.1,Vibrio phage VHML
NC_047728.1,Staphylococcus phage A5W
NC_007346.1,Emiliania huxleyi virus 86
NC_033819.1,Crohivirus B clone Bat/CAM/CroV-P25/2013 polyprotein gene
NC_023703.1,Mycobacterium phage Dori
NC_001511.1,Ovine lentivirus
NC_015208.1,Pseudomonas phage phi15
NC_016565.1,Staphylococcus phage S24-1
NC_008000.1,Campoletis sonorensis ichnovirus segment T
NC_020862.2,Sulfitobacter phage phiCB2047-B genomic sequence
NC_020854.1,Cyanophage KBS-S-2A genomic sequence
NC_052964.1,Pseudomonas phage Epa5
NC_055112.1,Bolahun virus variant 2 putative nucleoprotein
NC_021342.2,Edwardsiella phage PEi21
NC_022892.1,Human papillomavirus type 167 isolate KC10
NC_040841.1,Pinus nigra virus 1 isolate B2
NC_055230.1,Akhmeta virus isolate Akhmeta_2013-88
NC_006623.1,Gallid herpesvirus 1
NC_017969.1,Escherichia phage vB_EcoS_AKFV33
NC_047874.1,Pseudomonas virus Pf1 ERZ-2017
NC_008291.1,Taterapox virus
NC_031096.1,Pectobacterium phage PP90
NC_030660.1,Pigeonpea sterility mosaic virus 2 segment RNA1
NC_028833.1,BtNv-AlphaCoV/SC2013
NC_021558.1,Paenibacillus phage PG1 genomic sequence
NC_028978.1,Mycobacterium phage Murucutumbu
NC_022766.1,Bacillus phage Glittering
NC_018484.1,CAS virus segment L
NC_048178.1,Escherichia phage Sortsne
NC_026924.1,Synechococcus phage ACG-2014g isolate Syn7803US105
NC_025460.1,Staphylococcus phage phiSa119
NC_006551.1,Usutu virus
NC_033107.1,Wenzhou picorna-like virus 43 strain WZSBei69573 hypothetical protein gene
NC_031236.1,Wuhan Insect virus 7 strain WHYC02 nucleocapsid (N)
NC_021802.1,Cellulophaga phage phi10:1
NC_003085.1,Myxococcus phage Mx8
NC_014360.1,Circulifer tenellus virus 1
NC_001867.1,Walleye dermal sarcoma virus
NC_029316.1,Acidianus tailed spindle virus isolate 1
NC_028246.1,Adelaide River virus isolate DPP61
NC_028745.1,Pseudomonas phage DL60
NC_002014.1,Enterobacteria phage Ike
NC_027355.1,Bacillus phage BCP8-2
NC_033149.1,Sanxia tombus-like virus 9 strain SXXX37849 hypothetical protein 1
NC_054782.1,Mycobacterium phage Koko
NC_005344.1,Enterobacteria phage Sf6
NC_025454.1,Ralstonia phage RS603 DNA
NC_041845.1,Flavobacterium phage FCV-1
NC_052456.1,Mycobacterium phage Rajelicia
NC_033045.1,Hubei picorna-like virus 62 strain spider133936 hypothetical protein gene
NC_021341.1,Tomato yellow leaf curl Yunnan virus isolate YN2013 clone 10 segment DNA-A
NC_032188.1,Hubei sobemo-like virus 36 strain spider124913 hypothetical protein 1 and hypothetical protein 2 genes
NC_055142.1,Lymphocryptovirus Macaca/pfe-lcl-E3
NC_047756.1,Caulobacter phage Sansa
NC_038287.1,Radi virus nucleoprotein
NC_006945.1,Bacillus phage GIL16c
NC_055542.1,Ambrosia asymptomatic virus 1 isolate 05TGP00321 putative RNA-dependent RNA polymerase
NC_055517.1,Pepper yellow leaf curl Aceh virus DNA
NC_052467.1,Mycobacterium phage STLscum
NC_047834.1,Alteromonas virus vB_AspP-H4/4
NC_033081.1,Chicken calicivirus strain RS/BR/2015
NC_040619.1,Gammapapillomavirus sp. isolate Gamma_LCOSOc196
NC_031753.1,Porcine circovirus 3 strain 29160
NC_049505.1,Salmonella phage barely
NC_022981.1,Mycobacterium phage HufflyPuff
NC_053503.1,Mycobacterium phage Laurie
NC_001556.1,Tobacco mild green mosaic virus
NC_025347.1,Avian paramyxovirus 7 strain APMV-7/dove/Tennessee/4/75
NC_040625.1,Rhynchobatus djiddensis adomavirus 1 isolate UGA1
NC_052431.1,Mycobacterium phage GageAP
NC_033245.1,Hubei permutotetra-like virus 10 strain ZCM16232 RdRp and putative capsid protein genes
